experiment,scenario,scheme,x_name,x_value,n_phys,n_active,snr_db,jsr_db,channel,csi_nmse_db,sync_error_prob,jammer_est_error_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,collision_variance_sum,max_symbol_collision_sum,adjacent_overlap_sum,detected_collisions,false_alarms,positive_symbols,negative_symbols,posterior_collision_sum,sync_error_symbols,ber,ber_ci_low,ber_ci_high,fer,collision_rate,collision_variance,max_symbol_collision,adjacent_overlap,pd,pfa,mean_posterior,elapsed_s,ms_per_frame
delay_ablation,reactive_d1,mc4_k7,delay,1,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,104,101200,19,200,1670,102400,0.4049224853515625,26.09375,0.0,1301,619,1670,100730,4579.854325568698,0,0.0010276679841897233,0.0008482987460974689,0.0012449168450013241,0.095,0.01630859375,0.0020246124267578125,0.13046875,0.0,0.7790419161676647,0.006145140474535888,0.044725139898131816,0.7737942500000088,3.868971250000044
delay_ablation,reactive_d1,mc6_k7,delay,1,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,104,101200,19,200,1670,102400,0.4049224853515625,26.09375,0.0,1301,607,1670,100730,4565.242924685768,0,0.0010276679841897233,0.0008482987460974689,0.0012449168450013241,0.095,0.01630859375,0.0020246124267578125,0.13046875,0.0,0.7790419161676647,0.006026010126079619,0.04458245043638445,0.7716538340000056,3.8582691700000282
delay_ablation,reactive_d2,random_k7,delay,2,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1030,101200,118,200,12775,102400,0.2648887634277344,36.5,24.712053571428577,9830,596,12775,89625,12755.420993190897,0,0.010177865612648222,0.00957779710510897,0.01081511910312074,0.59,0.124755859375,0.0013244438171386718,0.1825,0.12356026785714289,0.7694716242661448,0.006649930264993027,0.12456465813662985,0.7518426660000159,3.7592133300000796
delay_ablation,reactive_d2,mc1_k7,delay,2,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1435,101200,144,200,14162,102400,0.31247711181640625,39.78125,0.0,10834,590,14162,88238,13734.020301218823,0,0.014179841897233201,0.013469625291086564,0.014926939675175561,0.72,0.13830078125,0.0015623855590820312,0.19890625,0.0,0.7650049428046886,0.006686461615177134,0.13412129200409006,0.7742143750000139,3.8710718750000694
delay_ablation,reactive_d2,mc2_k7,delay,2,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,321,101200,45,200,3230,102400,0.6683349609375,29.953125,0.0,2463,659,3230,99170,5706.007734134112,0,0.0031719367588932804,0.0028438470994056504,0.0035377432583426115,0.225,0.03154296875,0.0033416748046875,0.149765625,0.0,0.7625386996904024,0.006645154784713119,0.05572273177865344,0.774489458000005,3.872447290000025
delay_ablation,reactive_d2,mc4_k7,delay,2,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,321,101200,45,200,3230,102400,0.6683349609375,29.953125,0.0,2463,632,3230,99170,5690.284136809982,0,0.0031719367588932804,0.0028438470994056504,0.0035377432583426115,0.225,0.03154296875,0.0033416748046875,0.149765625,0.0,0.7625386996904024,0.00637289502873853,0.055569181023534975,0.7774559590000081,3.8872797950000404
delay_ablation,reactive_d2,mc6_k7,delay,2,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,321,101200,45,200,3230,102400,0.6683349609375,29.953125,0.0,2463,640,3230,99170,5714.594584510354,0,0.0031719367588932804,0.0028438470994056504,0.0035377432583426115,0.225,0.03154296875,0.0033416748046875,0.149765625,0.0,0.7625386996904024,0.006453564586064334,0.055806587739358926,0.7771574579999765,3.8857872899998824
delay_ablation,reactive_d3,random_k7,delay,3,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1094,101200,117,200,13017,102400,0.2541084289550781,36.28125,24.660714285714285,10047,554,13017,89383,12950.467880128816,0,0.010810276679841897,0.010191474353318231,0.011466215979637585,0.585,0.127119140625,0.0012705421447753906,0.18140625,0.12330357142857143,0.7718368287623877,0.00619804660841547,0.12646941289188296,0.7514130840000064,3.757065420000032
delay_ablation,reactive_d3,mc1_k7,delay,3,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,995,101200,118,200,12659,102400,0.2724189758300781,36.796875,0.0,9831,570,12659,89741,12753.876311061045,0,0.00983201581027668,0.009242446322344767,0.010458796536425348,0.59,0.123623046875,0.0013620948791503906,0.183984375,0.0,0.7766016273007347,0.006351611860799412,0.12454957335020551,0.774387666999985,3.871938334999925
delay_ablation,reactive_d3,mc2_k7,delay,3,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1570,101200,149,200,15561,102400,0.4127159118652344,44.59375,0.0,12053,561,15561,86839,14905.90340692869,0,0.015513833992094862,0.014770599965187498,0.016293847920418766,0.745,0.151962890625,0.002063579559326172,0.22296875,0.0,0.7745646166698799,0.006460231002199473,0.14556546295828798,0.7757191249999948,3.8785956249999742
